TubeNumber,Sample,Kingdom,ID,Trt_Rep,DateGerm,DateCollected,Year,CoverCrop,Variety,WCR,DaysPostGerm,Timepoint,SoilMass
001,CC_B_1,Bacteria,A09_2021,A09,7/6/2021,8/4/2021,2021,Fallow,MC4050,no,29,2,258.8
002,CC_B_2,Bacteria,A10_2021,A10,7/6/2021,8/4/2021,2021,Fallow,MC4050,yes,29,2,253.3
003,CC_B_3,Bacteria,A11_2021,A11,7/6/2021,8/4/2021,2021,Fallow,MC4050,yes,29,2,251
004,CC_B_4,Bacteria,A12_2021,A12,7/6/2021,8/4/2021,2021,Fallow,MC4050,no,29,2,252.7
005,CC_B_5,Bacteria,A13_2021,A13,7/6/2021,8/4/2021,2021,Fallow,MC4050,yes,29,2,257.6
006,CC_B_6,Bacteria,B09_2021,B09,7/6/2021,8/4/2021,2021,Pea,MC4050,yes,29,2,256.6
007,CC_B_7,Bacteria,B10_2021,B10,7/6/2021,8/4/2021,2021,Pea,MC4050,yes,29,2,252.9
008,CC_B_8,Bacteria,B12_2021,B12,7/6/2021,8/4/2021,2021,Pea,MC4050,no,29,2,254.3
009,CC_B_9,Bacteria,B13_2021,B13,7/6/2021,8/4/2021,2021,Pea,MC4050,no,29,2,249.8
010,CC_B_10,Bacteria,B14_2021,B14,7/6/2021,8/4/2021,2021,Pea,MC4050,yes,29,2,258
011,CC_B_11,Bacteria,C09_2021,C09,7/6/2021,8/4/2021,2021,Radish,MC4050,yes,29,2,253.7
012,CC_B_12,Bacteria,C10_2021,C10,7/6/2021,8/4/2021,2021,Radish,MC4050,no,29,2,253.9
013,CC_B_13,Bacteria,C11_2021,C11,7/6/2021,8/4/2021,2021,Radish,MC4050,no,29,2,259.6
014,CC_B_14,Bacteria,C13_2021,C13,7/6/2021,8/4/2021,2021,Radish,MC4050,yes,29,2,259.2
015,CC_B_15,Bacteria,C15_2021,C15,7/6/2021,8/4/2021,2021,Radish,MC4050,yes,29,2,249.8
016,CC_B_16,Bacteria,D09_2021,D09,7/6/2021,8/4/2021,2021,Triticale,MC4050,yes,29,2,259.6
017,CC_B_17,Bacteria,D10_2021,D10,7/6/2021,8/4/2021,2021,Triticale,MC4050,no,29,2,249.9
018,CC_B_18,Bacteria,D11_2021,D11,7/6/2021,8/4/2021,2021,Triticale,MC4050,no,29,2,250.4
019,CC_B_19,Bacteria,D13_2021,D13,7/6/2021,8/4/2021,2021,Triticale,MC4050,yes,29,2,249.4
020,CC_B_20,Bacteria,D15_2021,D15,7/6/2021,8/4/2021,2021,Triticale,MC4050,yes,29,2,257.2
021,CC_B_21,Bacteria,E09_2021,E09,7/6/2021,8/4/2021,2021,Mixture,MC4050,yes,29,2,256.4
022,CC_B_22,Bacteria,E10_2021,E10,7/6/2021,8/4/2021,2021,Mixture,MC4050,yes,29,2,257.5
023,CC_B_23,Bacteria,E11_2021,E11,7/6/2021,8/4/2021,2021,Mixture,MC4050,no,29,2,257.1
024,CC_B_24,Bacteria,E12_2021,E12,7/6/2021,8/4/2021,2021,Mixture,MC4050,no,29,2,245.7
025,CC_B_25,Bacteria,E13_2021,E13,7/6/2021,8/4/2021,2021,Mixture,MC4050,no,29,2,249.9
026,CC_B_26,Bacteria,G09_2021,G09,7/6/2021,8/4/2021,2021,Fallow,42C87,no,29,2,248.3
027,CC_B_27,Bacteria,G10_2021,G10,7/6/2021,8/4/2021,2021,Fallow,42C87,yes,29,2,248.5
028,CC_B_28,Bacteria,G11_2021,G11,7/6/2021,8/4/2021,2021,Fallow,42C87,yes,29,2,260.9
029,CC_B_29,Bacteria,G12_2021,G12,7/6/2021,8/4/2021,2021,Fallow,42C87,no,29,2,243.5
030,CC_B_30,Bacteria,G13_2021,G13,7/6/2021,8/4/2021,2021,Fallow,42C87,yes,29,2,254.9
031,CC_B_31,Bacteria,H09_2021,H09,7/6/2021,8/4/2021,2021,Pea,42C87,no,29,2,258
032,CC_B_32,Bacteria,H11_2021,H11,7/6/2021,8/4/2021,2021,Pea,42C87,yes,29,2,251.2
033,CC_B_33,Bacteria,H12_2021,H12,7/6/2021,8/4/2021,2021,Pea,42C87,no,29,2,254
034,CC_B_34,Bacteria,H14_2021,H14,7/6/2021,8/4/2021,2021,Pea,42C87,yes,29,2,258.4
035,CC_B_35,Bacteria,H15_2021,H15,7/6/2021,8/4/2021,2021,Pea,42C87,yes,29,2,253
036,CC_B_36,Bacteria,I09_2021,I09,7/6/2021,8/4/2021,2021,Radish,42C87,no,29,2,249.7
037,CC_B_37,Bacteria,I11_2021,I11,7/6/2021,8/4/2021,2021,Radish,42C87,yes,29,2,255.7
038,CC_B_38,Bacteria,I12_2021,I12,7/6/2021,8/4/2021,2021,Radish,42C87,no,29,2,257.5
039,CC_B_39,Bacteria,I13_2021,I13,7/6/2021,8/4/2021,2021,Radish,42C87,yes,29,2,250.5
040,CC_B_40,Bacteria,I15_2021,I15,7/6/2021,8/4/2021,2021,Radish,42C87,yes,29,2,249.7
041,CC_B_41,Bacteria,J09_2021,J09,7/6/2021,8/4/2021,2021,Triticale,42C87,no,29,2,258.2
042,CC_B_42,Bacteria,J10_2021,J10,7/6/2021,8/4/2021,2021,Triticale,42C87,yes,29,2,251.2
043,CC_B_43,Bacteria,J11_2021,J11,7/6/2021,8/4/2021,2021,Triticale,42C87,yes,29,2,256.6
044,CC_B_44,Bacteria,J13_2021,J13,7/6/2021,8/4/2021,2021,Triticale,42C87,yes,29,2,256.3
045,CC_B_45,Bacteria,J14_2021,J14,7/6/2021,8/4/2021,2021,Triticale,42C87,no,29,2,258.1
046,CC_B_46,Bacteria,K09_2021,K09,7/6/2021,8/4/2021,2021,Mixture,42C87,yes,29,2,253.6
047,CC_B_47,Bacteria,K10_2021,K10,7/6/2021,8/4/2021,2021,Mixture,42C87,no,29,2,255
048,CC_B_48,Bacteria,K11_2021,K11,7/6/2021,8/4/2021,2021,Mixture,42C87,yes,29,2,258.8
049,CC_B_49,Bacteria,K12_2021,K12,7/6/2021,8/4/2021,2021,Mixture,42C87,no,29,2,257.3
050,CC_B_50,Bacteria,K14_2021,K14,7/6/2021,8/4/2021,2021,Mixture,42C87,yes,29,2,257.4
051,CC_B_51,Bacteria,A01_2023,A01,5/20/2023,7/10/2023,2023,Fallow,MC4050,yes,51,2,256.3
052,CC_B_52,Bacteria,A02_2023,A02,5/20/2023,7/10/2023,2023,Fallow,MC4050,no,51,2,248.9
053,CC_B_53,Bacteria,A03_2023,A03,5/20/2023,7/10/2023,2023,Fallow,MC4050,yes,51,2,259.4
054,CC_B_54,Bacteria,A04_2023,A04,5/20/2023,7/10/2023,2023,Fallow,MC4050,no,51,2,251.4
055,CC_B_55,Bacteria,A05_2023,A05,5/20/2023,7/10/2023,2023,Fallow,MC4050,yes,51,2,251.5
056,CC_B_56,Bacteria,B01_2023,B01,5/20/2023,7/10/2023,2023,Pea,MC4050,no,51,2,256.1
